,X,MIG,ID1,ID2,LOC1,LOC2,DAY,MONTH,YEAR,MUS,MUSID,BLENGTH,BWIDTH,BDEPTH,BW4MM,PRIM9,PRIM6,TAIL,TARSUS,TOE,WEIGHT,KIND,SUBSP,LONG,LAT,Reg,K5,K5cur
116,995,1,995,4,IDAHO,AMERICAN,1,JE,1911,USNM,228435,8.8,4.4,3,1.8,60.1,58.3,43.7,18.3,12.6,NA,YELLOW,MORCOMI,-112,42,ywar3,ywar3,ywar3
117,996,1,996,4,IDAHO,WASHINGTO,7,JE,1952,USNM,420996,8.1,3.9,3,1.5,58.6,59.4,41.6,18.6,12.3,NA,YELLOW,MORCOMI,-116,44,ywar3,ywar3,ywar3
118,997,1,997,4,IDAHO,LEWISTON,1,JE,1950,USNM,418319,9,4.1,3,1.7,59.1,57.4,39.3,18.3,13.5,NA,YELLOW,MORCOMI,-116,46,ywar3,ywar3,ywar3
119,998,1,998,4,OREGON,MALHEUR,6,JE,1915,USNM,242887,8.4,3.8,2.7,1.7,61.5,64.2,44.5,17.3,12.9,NA,YELLOW,MORCOMI,-116,42,ywar3,ywar3,ywar3
120,999,1,999,4,COLORADO,GRAND,28,JE,1892,USNM,137559,8.8,3.5,2.9,1.7,61.6,61.4,45.3,18.4,9.1,NA,YELLOW,MORCOMI,-108,38,ywar3,ywar3,ywar3
121,1016,1,1016,3,ALASKA,SIRUKCR,23,JE,1963,USNM,529914,8.9,4,2.9,2,60.2,59.5,43.5,18.1,12.7,NA,YELLOW,RUBIGINOSA,-152,66,ywar1,ywar1,ywar1
122,1017,1,1017,3,ALASKA,BETTLES,7,JE,1963,USNM,529913,8.2,3.5,2.9,1.5,61.7,61.1,44.4,18.6,11.3,10,YELLOW,RUBIGINOSA,-150,66,ywar1,ywar1,ywar1
123,1018,1,1018,3,ALASKA,GLACIER,12,JE,1899,USNM,165144,9,4.1,2.9,1.6,61.8,60.9,43.8,17.8,9.8,NA,YELLOW,RUBIGINOSA,-136,58,ywar4,ywar4,ywar4
124,1021,1,1021,3,ALASKA,YAKUTAT,8,JE,1940,ORIG,3993,9.2,3.9,2.7,1.8,57,57.8,36.4,18,12,NA,YELLOW,RUBIGINOSA,-136,60,ywar4,ywar4,ywar4
125,1022,1,1022,3,BRITCOL,VICTOR,14,JE,1894,USNM,153280,8.8,4.2,3.1,2.1,60.3,59.8,43.4,17.9,11.5,NA,YELLOW,RUBIGINOSA,-122,50,ywar4,ywar4,ywar4
126,1023,1,1023,3,ALBERTA,ATHABAS,11,JE,1920,USNM,272980,9.3,4,3,1.9,57.3,57.9,41.3,17.5,11.3,NA,YELLOW,RUBIGINOSA,-110,58,ywar4,ywar4,ywar4
127,1025,1,1025,3,ALASKA,YAKUTAT,23,JE,1899,USNM,165009,8.2,3.8,2.9,1.8,59.5,58.9,39.8,17.4,12.2,NA,YELLOW,RUBIGINOSA,-136,60,ywar4,ywar4,ywar4
